txn_id,upi_ref,sender_vpa,sender_id,recv_vpa,recv_id,amount_inr,timestamp,sender_state,recv_state,sender_bank,recv_bank,is_fraud,layer
2148b4f0-358b-40,UPI0001001110,gh2m5zja@okaxis,835cb61e-36d,ch8jwwdx@oksbi,b6a72442-d1f,13039,2024-03-15T11:38:06,Maharashtra,West Bengal,SBI,HDFC,0,clean
ccee8c4f-d818-47,UPI0001002520,tx63cfl0@paytm,ac541769-490,3o1icns8@axl,d6c09182-2d4,159595,2024-03-18T08:26:04,Tamil Nadu,Maharashtra,Axis,Kotak,0,clean
7f92e917-bfac-4a,UPI0001003953,w2lm349e@upi,52515f9c-046,gu3obygh@oksbi,b3e30a41-88d,131703,2024-03-15T14:30:10,West Bengal,Tamil Nadu,Kotak,ICICI,0,clean
9de945ad-7c5c-48,UPI0001004069,k0ucc1m3@apl,18efcd83-447,qhkswva9@upi,93e3cdef-acd,7486,2024-03-17T07:06:47,Gujarat,Maharashtra,BOB,Kotak,0,clean
48026d46-7738-49,UPI0001001305,tahukwqv@axl,c57bb97d-993,c2ihoy7d@paytm,e4f996dd-100,5026,2024-03-17T18:30:29,Tamil Nadu,Tamil Nadu,BOB,BOB,0,clean
11eb57e1-9af0-44,UPI0001003274,c8bbi4wi@axl,72e6b18a-a53,t7txkdot@axl,b3d818db-f57,15147,2024-03-17T08:55:35,Gujarat,Gujarat,PNB,HDFC,0,clean
2e42ff92-8cd6-4a,UPI0001001424,zmuf8438@icici,62a8adae-998,oi0e0vgn@ybl,f2b82c08-c17,29060,2024-03-17T01:51:09,Tamil Nadu,West Bengal,ICICI,Axis,0,clean
82f9db29-fbf3-48,UPI0001003901,xivzk7a4@paytm,4fddfea1-8cf,7oxk8c1g@axl,46b23fe2-5eb,102061,2024-03-17T07:29:44,Maharashtra,Telangana,HDFC,Axis,0,clean
4f783079-6311-4b,UPI0001000080,b7l8v1zo@ibl,60eb54ed-9d1,r94sz2ku@ybl,3c8e10be-1ce,14868,2024-03-18T04:28:43,Gujarat,Telangana,ICICI,Axis,0,clean
852456f6-5f90-46,UPI0001001120,hzn4kgeu@okaxis,10818e5f-69f,8n7odkef@apl,91e08ce9-3ec,59700,2024-03-15T21:46:49,Telangana,Maharashtra,BOB,BOB,0,clean
781e2906-186f-4e,UPI0001001371,os6zle6k@okaxis,eafa0ae5-1d9,hzn4kgeu@okaxis,10818e5f-69f,175799,2024-03-16T00:52:51,Karnataka,Telangana,HDFC,BOB,0,clean
c71c5f78-ed81-4b,UPI0001002224,uzpeal2w@upi,05950436-fc1,1zxyvgiu@okaxis,855b24d8-016,159355,2024-03-15T19:46:07,Telangana,Gujarat,SBI,ICICI,0,clean
f2a02b21-9fa9-44,UPI0001004453,sc4e5hrd@apl,11c9ca6c-0cd,2jwoclyt@upi,92c5bab8-7ba,68051,2024-03-18T02:57:02,Tamil Nadu,Telangana,PNB,PNB,0,clean
f028e826-be87-47,UPI0001002932,9boq0iq2@oksbi,45a62da6-105,1eeurxhw@icici,8f237b1a-04e,142202,2024-03-16T07:36:05,West Bengal,Telangana,SBI,HDFC,0,clean
dcb90eac-8538-47,UPI0001000056,tnqfll7v@ybl,e3cbc039-81c,zb4ldims@paytm,37226f2a-c4f,189196,2024-03-16T11:10:22,Gujarat,Gujarat,HDFC,ICICI,0,clean
f3b02909-3463-4e,UPI0001000907,cqse3tv1@oksbi,3efd782c-6ec,aztkszp7@oksbi,bd9daf6b-41d,70962,2024-03-16T13:07:40,Gujarat,Tamil Nadu,Axis,SBI,0,clean
4bf1149d-caaa-42,UPI0001001568,5s4tl0th@okaxis,b194fbf8-08e,c01arxab@apl,a094d57c-0e5,190242,2024-03-15T22:54:32,Gujarat,Tamil Nadu,Kotak,ICICI,0,clean
0f892d0f-20a0-4f,UPI0001001610,hgbmfbuv@upi,aab2c0e3-bcd,ouhtcs1k@ibl,7eebd174-73c,46430,2024-03-17T23:29:45,West Bengal,Tamil Nadu,SBI,HDFC,0,clean
af19bfbd-091f-44,UPI0001003810,dr5xyfc4@paytm,172a1c93-d06,m92h3tv3@okaxis,56581c10-823,149785,2024-03-16T08:05:51,Telangana,West Bengal,SBI,ICICI,0,clean
fd584a33-dfe9-4d,UPI0001000149,0mqvindh@icici,d434bc72-c00,pd2tsxtv@upi,30954f8d-335,79424,2024-03-16T21:13:44,Karnataka,Gujarat,PNB,ICICI,0,clean
77a75b89-0f22-4d,UPI0001002111,d9fkxzuu@axl,1433fde1-1dd,md270stl@apl,05beb72c-5c8,20449,2024-03-16T21:56:41,Tamil Nadu,West Bengal,PNB,Axis,0,clean
6339e6c2-9f30-41,UPI0001001666,b7v1w4k2@icici,6a37d574-e6f,60plozjc@upi,d72284a1-243,29721,2024-03-16T10:01:00,Karnataka,West Bengal,ICICI,SBI,0,clean
8988f9f9-6e4b-4a,UPI0001000339,9xn4m41k@okaxis,cc2c3f3e-4c7,o57p6bkl@ibl,a0f35ea4-53a,179888,2024-03-17T01:23:15,Gujarat,Tamil Nadu,HDFC,Kotak,0,clean
3683b268-9738-4d,UPI0001003949,w83y0mah@ibl,9ca3624a-117,rkmby9ip@ybl,f5ed200a-714,32118,2024-03-18T06:42:31,Karnataka,Maharashtra,ICICI,HDFC,0,clean
091a5b2d-0cb2-49,UPI0001000496,b7v1w4k2@icici,6a37d574-e6f,7y2lofn1@axl,075bde03-879,188669,2024-03-16T14:44:31,Karnataka,Maharashtra,ICICI,HDFC,0,clean
1b1e72e8-0ee3-4a,UPI0001001647,udojen0j@apl,f8265746-bc4,kek4aegv@oksbi,6fca54c3-692,86880,2024-03-18T02:34:17,West Bengal,West Bengal,BOB,PNB,0,clean
79169e2c-f376-4c,UPI0001000041,c01arxab@apl,a094d57c-0e5,et8t63j3@axl,e4ac4b23-0d3,162746,2024-03-17T09:25:48,Tamil Nadu,Karnataka,ICICI,BOB,0,clean
b648a18c-d208-4a,UPI0001002831,gh2m5zja@okaxis,835cb61e-36d,k0ucc1m3@apl,18efcd83-447,177505,2024-03-15T22:38:50,Maharashtra,Gujarat,SBI,BOB,0,clean
f6a77a21-c151-49,UPI0001000888,g68a1arr@ybl,93972fa1-bff,q8ghgbcy@okaxis,d3047a7e-914,20157,2024-03-16T07:58:48,Gujarat,West Bengal,Kotak,BOB,0,clean
818fbfd3-f676-44,UPI0001001404,pb8z3v6d@okaxis,080f17ae-0d9,vaj2k8xp@apl,90f01618-4ff,52519,2024-03-16T07:23:34,Gujarat,Karnataka,PNB,BOB,0,clean
249164b1-d17d-42,UPI0001000013,9xuy41ib@upi,8a87cb9e-052,cotohp6v@ybl,6fc723ac-953,185441,2024-03-15T10:34:26,Rajasthan,Rajasthan,Axis,BOB,1,L1→L2
f4c61ec9-52a0-4e,UPI0001001065,yv3lxchf@ybl,05438732-9d3,nqdxamw2@icici,0ec40a2e-3f7,32660,2024-03-15T23:39:18,Tamil Nadu,Gujarat,BOB,Kotak,0,clean
0876ca33-72c1-40,UPI0001003097,w3zkwdee@paytm,0d7b14ce-3fb,sb5iqnf7@ybl,ffdb076f-e40,20038,2024-03-17T04:31:57,Telangana,Gujarat,SBI,Kotak,0,clean
af727e47-9b5e-41,UPI0001000606,z09wftbg@upi,69681540-b97,y8fv2bc2@upi,0b17743a-244,34560,2024-03-16T12:49:27,Kerala,Gujarat,Kotak,ICICI,0,clean
f6139465-a757-4f,UPI0001003601,2lhgcsot@ibl,f3952d16-235,u9n79gil@upi,388edc83-947,37913,2024-03-17T14:57:37,Tamil Nadu,Karnataka,ICICI,Kotak,0,clean
3c8cd01a-bc4b-46,UPI0001002379,rw6tm2o0@icici,7b3b2f4a-e30,wjeyub19@icici,2328b533-d95,10647,2024-03-16T16:12:57,Karnataka,Karnataka,ICICI,Axis,0,clean
8741edc6-2d59-46,UPI0001004240,cd81twhw@okaxis,215eaeac-210,ofas1ekt@axl,de630927-308,46435,2024-03-17T15:42:43,Kerala,Maharashtra,BOB,BOB,0,clean
deb11a10-64db-46,UPI0001000374,091c795r@upi,e21f0d08-204,lzse99f7@oksbi,ce4481c5-154,187985,2024-03-17T21:38:56,Karnataka,Karnataka,BOB,ICICI,0,clean
8ef34113-c515-4f,UPI0001001635,yxtxmgtt@okaxis,7c6e58d5-652,uswbkok3@axl,7f90cc04-8a6,101222,2024-03-16T19:10:14,Tamil Nadu,Tamil Nadu,BOB,HDFC,0,clean
6c7c3463-012b-4c,UPI0001000480,9ku8s63e@apl,c9b6fdb8-698,tjlmz04x@okaxis,2bd5d145-db0,32737,2024-03-16T04:16:35,Maharashtra,Kerala,SBI,Axis,0,clean
1fdcd988-3ede-45,UPI0001002055,mxb9yo18@apl,59117312-cf3,wviac2e4@axl,ef581a18-a36,15972,2024-03-17T22:45:14,Gujarat,Kerala,SBI,PNB,0,clean
dee13076-d205-45,UPI0001003555,8xg8y72i@oksbi,958464e8-619,xoq2vpgs@icici,3e35461b-eca,134476,2024-03-18T11:19:55,Gujarat,Karnataka,Axis,BOB,0,clean
fe61538b-742e-45,UPI0001002360,almjegqt@apl,5a7a5884-b49,xf7kzorq@axl,8a77df8c-2c4,13322,2024-03-15T15:23:54,Tamil Nadu,Tamil Nadu,SBI,Kotak,0,clean
78ddacdd-6213-4e,UPI0001001971,lfzkicwm@axl,de2ef3f1-ab7,lhlb50at@apl,0232feb6-0e5,153447,2024-03-17T20:00:21,Kerala,West Bengal,SBI,ICICI,0,clean
9fd0a439-f30f-45,UPI0001003849,jfvyb6li@axl,93910c55-ea9,239moft6@axl,0f7c79b6-edf,149431,2024-03-15T21:37:16,Karnataka,Karnataka,ICICI,ICICI,0,clean
9c452299-21ea-47,UPI0001001126,kqxlm5q2@axl,96141255-6de,f0onjpi1@paytm,f1306f21-cef,82243,2024-03-17T21:11:09,West Bengal,Karnataka,BOB,ICICI,0,clean
2f5352b0-56a9-42,UPI0001004511,8gl2zxjm@upi,dc036929-eff,9xn4m41k@okaxis,cc2c3f3e-4c7,113797,2024-03-15T10:40:45,Maharashtra,Gujarat,Axis,HDFC,0,clean
9038f233-e69e-47,UPI0001002884,zbcgjc36@apl,a45a1f06-4cb,wovcxek4@apl,be18dda5-608,97117,2024-03-17T17:27:50,Telangana,Karnataka,Axis,PNB,0,clean
e0f7febb-bc8a-4f,UPI0001004168,m41qesla@okaxis,f826568b-9f5,zh13cd5g@upi,227ab300-e54,22088,2024-03-18T08:18:28,Kerala,Tamil Nadu,Axis,HDFC,0,clean
2e8630ea-5556-4d,UPI0001000882,k12v2tg5@apl,3903da2e-a66,091c795r@upi,e21f0d08-204,147391,2024-03-17T07:27:23,Telangana,Karnataka,Axis,BOB,0,clean
66372ad5-7872-4a,UPI0001003698,3dd03uvu@upi,cf3db828-3cc,tuw6taq6@upi,409c06a8-91d,136372,2024-03-16T01:23:37,Tamil Nadu,Gujarat,PNB,Axis,0,clean
f1cd8838-2426-4f,UPI0001003915,p7r1m264@ibl,61dacc37-3af,jluujmiy@axl,77509db0-051,74701,2024-03-15T22:19:07,Kerala,West Bengal,Axis,ICICI,0,clean
a2582c7e-88d3-40,UPI0001002339,2muljavb@paytm,42174022-e10,kns832ej@axl,1d7f27e2-928,9068,2024-03-16T03:48:53,Kerala,West Bengal,SBI,BOB,0,clean
7d4a0dd2-2b5c-4c,UPI0001001208,9xn4m41k@okaxis,cc2c3f3e-4c7,ezqacj4t@icici,8eb3737e-59f,62084,2024-03-18T07:46:52,Gujarat,West Bengal,HDFC,Axis,0,clean
d28d200d-1e3a-4a,UPI0001003250,fvl03dut@paytm,4d39a635-f9c,1bcppvoh@icici,328ed257-23e,44572,2024-03-17T23:40:00,Gujarat,Karnataka,Kotak,SBI,0,clean
133d1a23-0abe-4f,UPI0001004811,08j3trp0@paytm,6434509b-398,b9w4uov5@paytm,1dff960e-c72,79169,2024-03-16T00:09:18,Karnataka,West Bengal,ICICI,PNB,0,clean
80e1beb1-355a-48,UPI0001002931,pkyrybov@ybl,4f1e5710-28e,i7kq1uym@axl,bdef7217-228,56688,2024-03-17T21:33:32,Maharashtra,West Bengal,HDFC,BOB,0,clean
03602bf5-6fb7-43,UPI0001001692,m92h3tv3@okaxis,56581c10-823,2muljavb@paytm,42174022-e10,35701,2024-03-15T19:50:49,West Bengal,Kerala,ICICI,SBI,0,clean
dcbc8e6a-a1e6-43,UPI0001002946,9t199dxj@ybl,95e891ca-aea,0q0mftg6@ybl,1c02f161-954,124566,2024-03-15T22:23:53,West Bengal,Gujarat,BOB,Kotak,0,clean
2cfcdc8c-f176-4a,UPI0001000691,1zxyvgiu@okaxis,855b24d8-016,9v20yar8@okaxis,d55a6885-690,158349,2024-03-16T06:30:07,Gujarat,Tamil Nadu,ICICI,PNB,0,clean
72442bde-f977-43,UPI0001000303,rq9nz612@okaxis,1b4f813a-e5e,ga0x7zcg@ibl,15bb3739-991,95027,2024-03-17T17:48:57,Karnataka,Karnataka,BOB,SBI,0,clean
9e73e089-cbb5-4e,UPI0001000432,8qoagsus@upi,701c0d10-59a,zb4ldims@paytm,37226f2a-c4f,34417,2024-03-18T04:25:33,Kerala,Gujarat,SBI,ICICI,0,clean
b33d7cbb-e926-48,UPI0001001460,t0mq8abk@ybl,9638e7a0-a3a,safyh1fk@paytm,7814c846-782,38901,2024-03-16T04:40:30,West Bengal,Tamil Nadu,Kotak,HDFC,0,clean
642970fd-6fc7-4b,UPI0001001318,aztkszp7@oksbi,bd9daf6b-41d,239moft6@axl,0f7c79b6-edf,97849,2024-03-17T15:34:41,Tamil Nadu,Karnataka,SBI,ICICI,0,clean
fa2a15f3-7198-4b,UPI0001002591,p3jpxgh3@axl,c8b30791-50e,urvqt3g8@ibl,7b0d2a9d-0f8,3939,2024-03-16T18:14:24,Gujarat,Gujarat,BOB,Kotak,0,clean
907754f1-64a5-40,UPI0001001294,j9rm7pyx@ibl,4a9e6a11-177,96khub2r@icici,8faab40b-0cf,163430,2024-03-17T18:25:27,Gujarat,Karnataka,BOB,SBI,0,clean
748ce3af-d7d6-4b,UPI0001002087,2zbppfo5@upi,c3f5b069-37e,08j3trp0@paytm,6434509b-398,176042,2024-03-17T16:05:04,Maharashtra,Karnataka,Kotak,ICICI,0,clean
a4dee2aa-4fc4-49,UPI0001004556,i6yuj7yk@icici,f03c391e-8f7,yc3rwqmm@icici,8b3a52b5-76e,23625,2024-03-18T09:26:51,Tamil Nadu,Tamil Nadu,Kotak,Kotak,0,clean
dd7248b9-a137-47,UPI0001000845,78imoe0s@okaxis,0248c411-18c,sb5iqnf7@ybl,ffdb076f-e40,42923,2024-03-16T03:52:47,Tamil Nadu,Gujarat,Axis,Kotak,0,clean
6cd4ba7d-5c81-4f,UPI0001003943,xlez896d@apl,1f77ec31-a37,nbhnal3g@ybl,b9a38cd2-91b,139039,2024-03-17T19:03:47,Telangana,Telangana,Kotak,PNB,0,clean
0d6efef3-f916-47,UPI0001004766,k7y6qxds@oksbi,368e12fa-90b,79flv1xx@paytm,dff63398-c9e,49657,2024-03-15T19:45:35,Telangana,Kerala,BOB,PNB,0,clean
8da8ebb5-4b44-46,UPI0001004277,fqjja26y@oksbi,51114166-54e,mcqbnkx9@ibl,8afc3470-686,33544,2024-03-17T13:30:01,Kerala,Tamil Nadu,SBI,Kotak,0,clean
009bf3fc-0941-43,UPI0001000484,j6txfo6v@paytm,8e5cd165-8cb,9xn4m41k@okaxis,cc2c3f3e-4c7,84815,2024-03-17T05:43:29,Kerala,Gujarat,HDFC,HDFC,0,clean
82e85382-1d11-4a,UPI0001003791,a5xin9dl@icici,ad258476-426,u83g47rr@ybl,043e14fa-255,182400,2024-03-16T13:41:26,Tamil Nadu,Gujarat,SBI,PNB,0,clean
d31fff09-fdb9-48,UPI0001000181,2zbppfo5@upi,c3f5b069-37e,2sds8b25@icici,bd9e7438-8f4,101368,2024-03-16T22:59:38,Maharashtra,Telangana,Kotak,ICICI,0,clean
0592699d-f4f3-4b,UPI0001002137,ay64yfds@ibl,05351dc8-a9a,pkyrybov@ybl,4f1e5710-28e,54452,2024-03-17T12:35:52,Karnataka,Maharashtra,ICICI,HDFC,0,clean
c63bb3e6-59fc-4d,UPI0001001513,q1rdxck3@icici,ca1e97cd-4e6,a7sqrf1l@upi,03564e58-3fd,9373,2024-03-17T04:14:06,Telangana,Tamil Nadu,HDFC,ICICI,0,clean
150ae7ea-bfb0-46,UPI0001003794,nfnvuprt@oksbi,1afaa772-d85,sehe2atn@icici,d6c059ff-a09,13675,2024-03-17T22:30:09,Karnataka,Maharashtra,Kotak,HDFC,0,clean
14233a33-2b2c-44,UPI0001000463,vqy5ibpt@ybl,6254431b-8f0,t9t11php@okaxis,cdc97255-ace,26385,2024-03-17T02:39:26,Tamil Nadu,West Bengal,HDFC,ICICI,0,clean
c4f8eace-e08d-4f,UPI0001000690,bfh024kw@paytm,4c7b95ce-541,4ivsolml@oksbi,3f8344dd-51d,69006,2024-03-17T21:13:09,Gujarat,Telangana,PNB,SBI,0,clean
7cf6acab-dbf7-4d,UPI0001003119,f0onjpi1@paytm,f1306f21-cef,2qc6dr08@ibl,edc4c65a-097,150351,2024-03-17T10:29:08,Karnataka,West Bengal,ICICI,PNB,0,clean
ced65169-d077-44,UPI0001001165,aacosym0@paytm,7cd0e4eb-ec5,sdygflij@okaxis,f4e28f71-353,164835,2024-03-18T08:27:58,Kerala,Telangana,HDFC,Axis,0,clean
4160e724-9dde-4f,UPI0001003318,hiuit7m1@axl,ac812895-0f0,q20hwobm@okaxis,1f7e151c-59a,81488,2024-03-16T14:15:51,Karnataka,Tamil Nadu,PNB,SBI,0,clean
2398519f-f339-4c,UPI0001002894,1n13jcat@upi,cb737bb3-638,7azv2efu@ibl,68d7613a-6e9,26040,2024-03-17T08:58:06,Maharashtra,Telangana,HDFC,SBI,0,clean
47190738-e4b3-42,UPI0001002473,i9kqdgbk@upi,feaf9f0b-cd9,pd2tsxtv@upi,30954f8d-335,139415,2024-03-16T10:10:31,Gujarat,Gujarat,Axis,ICICI,0,clean
bf1bdce2-6d9e-44,UPI0001004833,ch8jwwdx@oksbi,b6a72442-d1f,xivzk7a4@paytm,4fddfea1-8cf,174532,2024-03-18T09:34:19,West Bengal,Maharashtra,HDFC,HDFC,0,clean
b44793c0-c2dd-4d,UPI0001003617,nn8ztv05@ibl,b38f2bd8-1fb,e1i1p0bq@ibl,3130fc81-4e9,58549,2024-03-15T11:05:56,Karnataka,Tamil Nadu,BOB,Kotak,0,clean
df2e0556-ee98-43,UPI0001002913,fuu5f07b@axl,d7955ac1-ec5,qfwwxr5r@ibl,26cdf408-d84,33090,2024-03-16T18:32:01,Telangana,Maharashtra,HDFC,ICICI,0,clean
a1f7b381-6410-4a,UPI0001003856,lzse99f7@oksbi,ce4481c5-154,uuxk0are@ibl,7992b6ba-0fd,22048,2024-03-18T08:57:30,Karnataka,Telangana,ICICI,BOB,0,clean
08277c9c-598d-4b,UPI0001000441,sygjjfgj@paytm,333e6ba7-55b,n7s55j2o@icici,0c084f0a-36d,12213,2024-03-17T16:00:36,Kerala,Karnataka,Axis,ICICI,0,clean
84a641fa-5b44-4c,UPI0001002644,a83ru7my@apl,88c32907-0d3,uflsehud@icici,168777e2-a06,1305,2024-03-17T06:56:56,Karnataka,Karnataka,SBI,Axis,0,clean
19252ec7-1dba-44,UPI0001002509,jfvyb6li@axl,93910c55-ea9,sjt2jpnr@okaxis,d797c026-0e2,145989,2024-03-18T06:27:59,Karnataka,West Bengal,ICICI,BOB,0,clean
1e6626ba-f500-4e,UPI0001003838,b7v1w4k2@icici,6a37d574-e6f,o57p6bkl@ibl,a0f35ea4-53a,52242,2024-03-17T03:44:17,Karnataka,Tamil Nadu,ICICI,Kotak,0,clean
75a6a922-9380-4c,UPI0001001910,zmf8mdd4@paytm,d6a9a633-5ca,sxlul6lg@paytm,0d49bdb5-2c0,63516,2024-03-17T04:41:24,Tamil Nadu,Tamil Nadu,BOB,Kotak,0,clean
ca9b081e-c85e-43,UPI0001001343,f5gcl9lc@axl,07d8fa8c-cff,8qoagsus@upi,701c0d10-59a,123671,2024-03-15T22:38:55,Telangana,Kerala,ICICI,SBI,0,clean
81bee49e-7830-47,UPI0001002478,xzamkygv@apl,32a05e88-18a,ywp0rxxf@icici,536cc49c-7b9,52789,2024-03-17T14:12:53,Telangana,Kerala,BOB,Kotak,0,clean
48d5fab4-102c-4e,UPI0001002980,likwe4bx@upi,9bb85d81-e50,hkc856wp@axl,d4d7921f-c09,130416,2024-03-16T04:46:07,Telangana,Kerala,BOB,SBI,0,clean
0617fb7d-ce7e-4c,UPI0001003297,hx2kbvsi@oksbi,ebee6395-f0f,h8uzb7kr@oksbi,0dcc2242-7f7,96403,2024-03-18T06:01:25,Tamil Nadu,Karnataka,PNB,SBI,0,clean
b4cb9d8e-8b99-4b,UPI0001004398,gspk9p38@axl,b85df010-58f,0cdk36m8@paytm,e75380e3-936,98902,2024-03-16T20:16:47,West Bengal,Tamil Nadu,ICICI,HDFC,0,clean
7a23a858-6319-4c,UPI0001000527,ac6pe63l@ybl,fe6486c9-5e6,04chsdin@okaxis,7193a5d0-081,112725,2024-03-15T22:51:41,Tamil Nadu,Tamil Nadu,Axis,Kotak,0,clean
f27b3c7d-d426-4a,UPI0001000413,y4lmct64@oksbi,c2a29e5d-a8f,6xlpu0dk@apl,2966c875-264,134631,2024-03-18T08:49:33,West Bengal,Tamil Nadu,BOB,HDFC,0,clean
f2e02e44-d341-48,UPI0001004127,03o4gkww@paytm,a371a87c-ef1,9rr7s20c@oksbi,5df013ac-e29,141728,2024-03-16T08:38:10,Gujarat,Maharashtra,PNB,Kotak,0,clean
e92f01bb-3945-49,UPI0001001901,hx74d0gj@ybl,5db7e9f0-084,rw6tm2o0@icici,7b3b2f4a-e30,154501,2024-03-18T07:41:41,Maharashtra,Karnataka,BOB,ICICI,0,clean
